,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7,channel 8,channel 9,channel 10,channel 11,channel 12,channel 13,channel 14,channel 15,channel 16,channel 17,channel 18
0,32,31,50,62,98,35,42,40,0.84844970703125,0.11273193359375,-0.485595703125,-0.1778564453125,0.197265625,0.47607421875,-0.19873046875,-4.125,69.5,-193.375
0,35,39,50,121,138,62,45,43,0.84832763671875,0.133056640625,-0.4688720703125,-0.20672607421875,0.01513671875,0.35498046875,-0.1005859375,-2.3125,84.6875,-203.875
0,40,39,42,133,142,61,45,39,0.84820556640625,0.1553955078125,-0.44842529296875,-0.2352294921875,0.515625,0.36181640625,0.58935546875,9.0625,101.875,-214.25
0,40,43,42,135,132,62,42,36,0.84613037109375,0.18353271484375,-0.4259033203125,-0.26263427734375,0.28955078125,0.68017578125,0.23291015625,33.3125,118.0625,-223.9375
0,35,50,46,135,131,71,39,34,0.84259033203125,0.21087646484375,-0.40155029296875,-0.29034423828125,0.48486328125,0.662109375,0.55810546875,31.125,121.0,-230.875
0,41,95,60,130,119,82,36,34,0.83721923828125,0.2381591796875,-0.37567138671875,-0.31817626953125,0.4921875,0.685546875,0.62841796875,30.9375,124.625,-237.1875
0,45,141,107,84,82,70,32,28,0.82989501953125,0.26605224609375,-0.3480224609375,-0.345458984375,0.45947265625,0.65869140625,0.6005859375,34.9375,131.375,-243.375
0,42,151,109,61,70,70,30,29,0.8199462890625,0.296875,-0.31884765625,-0.37127685546875,0.37939453125,0.69921875,0.61279296875,52.8125,141.375,-249.75
0,56,348,201,59,72,69,32,32,0.80865478515625,0.3271484375,-0.2867431640625,-0.39605712890625,0.45751953125,0.6416015625,0.974609375,53.5625,153.875,-254.625
0,58,410,224,61,80,60,30,30,0.79400634765625,0.35888671875,-0.25384521484375,-0.41986083984375,0.37646484375,0.9892578125,0.9091796875,62.5625,158.25,-261.0625
0,59,451,248,69,88,41,31,35,0.77777099609375,0.38922119140625,-0.21795654296875,-0.4427490234375,-0.19140625,0.59326171875,0.41162109375,51.4375,164.0,-259.1875
0,58,445,236,69,90,33,30,36,0.76275634765625,0.4149169921875,-0.18096923828125,-0.46185302734375,0.43798828125,0.896484375,1.2490234375,38.5625,175.25,-246.0
0,58,467,261,74,108,42,33,39,0.7479248046875,0.43804931640625,-0.14251708984375,-0.47796630859375,0.19384765625,1.02099609375,0.79541015625,18.5625,180.5625,-231.6875
0,49,374,226,124,119,49,35,44,0.733642578125,0.45556640625,-0.10113525390625,-0.493896484375,-0.29248046875,0.9892578125,0.31494140625,-20.9375,172.75,-226.875
0,47,316,217,128,113,67,37,48,0.72088623046875,0.46502685546875,-0.05474853515625,-0.51092529296875,-0.669921875,0.810546875,-0.03271484375,-76.625,163.6875,-231.625
0,47,247,192,147,156,121,40,51,0.709716796875,0.46636962890625,-0.0032958984375,-0.5279541015625,-1.02099609375,0.6826171875,-0.130859375,-129.3125,157.1875,-234.4375
0,45,242,195,152,163,176,40,52,0.7001953125,0.4613037109375,0.049560546875,-0.5426025390625,-1.369140625,0.62939453125,0.091796875,-161.1875,148.375,-221.6875
0,48,206,171,182,158,197,38,49,0.6954345703125,0.44879150390625,0.101318359375,-0.55194091796875,-1.5400390625,0.537109375,0.23046875,-199.75,133.3125,-184.5
0,58,194,211,196,154,201,37,43,0.69683837890625,0.4285888671875,0.1514892578125,-0.55474853515625,-1.3447265625,0.525390625,0.48046875,-243.75,120.4375,-143.5625
0,142,194,220,284,162,205,37,49,0.6973876953125,0.4100341796875,0.19439697265625,-0.55474853515625,-0.90576171875,0.14306640625,0.697265625,-209.0,111.5625,-116.375
0,167,233,253,350,146,272,37,49,0.689208984375,0.40771484375,0.224609375,-0.55523681640625,-0.99951171875,-0.08984375,0.84619140625,-79.75,122.6875,-95.125
0,177,241,263,371,130,286,37,48,0.673583984375,0.422119140625,0.23760986328125,-0.5582275390625,-1.18310546875,0.1376953125,0.80078125,58.8125,110.5625,-69.0
